ID	COL_NEW	PCH_NEW	COVERAGE	CONTINENT	COL	FILLCOL	BORDERCOL	BORDERCOLALT	DATASET	SHORT	WIDEPOP	POP	PCH
1000GDAI6	gray30	2	53.3533	ASIA	black	gray	black	black	1000G	As_DAI6	ASIA	dai	17
1000GMAN5	hotpink1	6	27.1923	AFRICA_S	gray80	gray80	maroon1	maroon1	1000G	Af_MAN5	AFRICA_S	mandinka	17
1000GESA3	pink3	2	50.1957	AFRICA_S	gray80	gray80	maroon1	maroon1	1000G	Af_ESA3	AFRICA_S	esan	17
1000GMEN3	palevioletred	3	49.1315	AFRICA_S	gray80	gray80	maroon1	maroon1	1000G	Af_MEN3	AFRICA_S	mende	17
HGDPDIN4	mediumpurple4	0	22.7568	AFRICA_S	gray80	gray80	royalblue4	royalblue4	HGDP	Af_DIN4	AFRICA_S	dinka	17
HGDPMBU5	turquoise4	2	18.9419	AFRICA_S	gray80	gray80	cadetblue2	cadetblue2	HGDP	Af_MBU5	RHG	mbuti	17
HGDPFRE4	gray0	0	20.9521	EUROPE	gray10	gray	gray10	gray10	HGDP	E_FRE4	EUROPE	french	17
HGDPPAPe	gray48	3	20.1177	OCEANIA	gray60	gray	gray60	gray60	HGDP	O_PAPe	OCEANIA	papuan	17
HGDPYOR4	pink2	1	24.7957	AFRICA_S	gray80	gray80	maroon1	maroon1	HGDP	Af_YOR4	AFRICA_S	yoruba	17
HGDPKAR5	gray66	4	19.7888	AMERICA	gray40	gray	gray40	gray40	HGDP	Am_KAR5	AMERICA	karitiana	17
HGDPJUH5	deepskyblue4	1	24.7435	AFRICA_S	gray80	gray80	coral	chocolate1	HGDP	Af_JUH5	KS	juhoansi_comp	17
HGDPMAN4	pink	0	19.011	AFRICA_S	gray80	gray80	maroon1	maroon1	HGDP	Af_MAN4	AFRICA_S	mandenka	17
HGDPDAI5	gray30	2	22.1862	ASIA	black	gray	black	black	HGDP	As_DAI5	ASIA	dai	17
KSP062	royalblue	4	43.6129	AFRICA_S	brown4	brown4	brown4	brown4	KSP	Af_KSP062	KS	karretjie	19
KSP063	royalblue	4	54.2938	AFRICA_S	brown4	brown4	brown4	brown4	KSP	Af_KSP063	KS	karretjie	19
KSP065	royalblue	4	40.0426	AFRICA_S	brown4	brown4	brown4	brown4	KSP	Af_KSP065	KS	karretjie	19
KSP067	royalblue	4	48.4238	AFRICA_S	brown4	brown4	brown4	brown4	KSP	Af_KSP067	KS	karretjie	19
KSP069	royalblue	4	46.8412	AFRICA_S	brown4	brown4	brown4	brown4	KSP	Af_KSP069	KS	karretjie	19
KSP092	navy	3	39.5353	AFRICA_S	brown3	brown3	brown3	brown3	KSP	Af_KSP092	KS	guigana	19
KSP096	navy	3	54.8059	AFRICA_S	brown3	brown3	brown3	brown3	KSP	Af_KSP096	KS	guigana	19
KSP103	deepskyblue2	0	54.1074	AFRICA_S	coral	coral	coral	coral	KSP	Af_KSP103	KS	juhoansi	19
