IND_ID	POP	0.2-0.5	0.5-1	1-2	2-4
1000GCEU1	CEU	215070.988	31149.955	1016.513	NA
1000GCEU2	CEU	208329.853	21730.903	NA	NA
1000GDAI6	Dai	279162.311	60265.137	5849.101	NA
1000GESA3	Esan	62699.418	12450.998	3532.687	2075.545
1000GLUH3	Luhya	53706.353	19953.606	2133.923	NA
1000GMAN5	Mandinka	81751.014	15321.293	1005.79	2289.566
1000GMEN3	Mende	57533.956	9110.439	3387.516	NA
HGDPDAI5	Dai	210691.34	25057.599	2037.044	NA
HGDPDIN4	Dinka	49964.848	4591.714	NA	NA
HGDPFRE4	French	175585.556	14009.399	NA	NA
HGDPJUH5	Juhoansi_comp	50864.736	11664.76	NA	NA
HGDPKAR4	Karitiana	459132.103	150458.157	26312.326	NA
HGDPKAR5	Karitiana	425771.27	105823.604	15821.418	NA
HGDPMAN4	Mandenka	42226.202	3082.971	NA	NA
HGDPMBU5	Mbuti	70885.866	16323.037	3865.669	NA
HGDPPAPe	Papuan	331479.154	37785.855	2787.391	NA
HGDPYOR4	Yoruba	67150.335	10450.25	2791.33	NA
KSP062	Karretjie	80509.288	34491.208	6481.66	6908.299
KSP063	Karretjie	55911.176	17557.659	1043.396	NA
KSP065	Karretjie	47586.795	11314.347	5616.103	NA
KSP067	Karretjie	66961.156	20422.351	4539.924	NA
KSP069	Karretjie	60538.575	20561.369	1075.231	NA
KSP092	Khutse_San	43471.371	20786.365	11662.489	NA
KSP096	Khutse_San	73158.404	57282.634	48691.62	5560.993
KSP103	Juhoansi	60986.376	34698.927	18455.592	NA
KSP105	Juhoansi	62290.741	18910.602	5094.752	NA
KSP106	Juhoansi	54829.477	30931.951	21394.547	2398.805
KSP111	Juhoansi	61218.523	21252.962	4945.175	NA
KSP116	Juhoansi	59613.676	28780.71	13509.308	NA
KSP124	Nama	68492.434	24186.412	4643.282	NA
KSP134	Nama	64758.679	20072.892	8313.803	2154.256
KSP137	Nama	69915.443	29600.446	17158.566	5038.836
KSP139	Nama	63821.157	26763.581	10102.114	2082.26
KSP140	Nama	68383.555	43361.365	37438.302	3748.988
KSP146	Xun	38937.209	11547.029	3436.926	NA
KSP150	Xun	44684.261	34437.67	8586.764	2532.805
KSP152	Xun	42836.147	25693.237	13112.637	NA
KSP154	Xun	47747.046	17896.711	10642.079	2255.861
KSP155	Xun	47958.801	33474.828	17056.258	4338.349
KSP224	Khutse_San	61866.804	38448.277	12729.061	2726.206
KSP225	Khutse_San	58671.131	19599.077	5748.097	NA
KSP228	Khutse_San	56290.593	21670.122	6412.9	2494.678
PNP000	Baka	46513.258	29956.826	12465.337	2034.752
PNP001	Baka	55832.301	33730.262	35899.299	NA
PNP002	Baka	38677.99	16307.199	7568.202	4961.237
PNP003	Baka	42586.427	18686.391	12082.929	NA
PNP004	Baka	42010.423	23907.172	11963.659	6123.424
PNP005	Baka	41180.898	20120.679	7692.193	NA
PNP006	Baka	55335.502	45687.255	24980.437	19325.096
PNP010	Nzime	54958.198	14168.162	2497.211	2297.914
PNP011	Nzime	59431.624	15907.28	2856.752	NA
PNP012	Nzime	57913.484	16582.057	3656.164	NA
PNP013	Nzime	58133.122	14585.657	7037.222	2143.328
PNP014	Nzime	56575.925	9358.697	1007.286	NA
PNP020	Ba.Kola	55099.017	14871.298	3681.579	NA
PNP021	Ba.Kola	47988.796	29260.161	6891.497	NA
PNP022	Ba.Kola	73726.262	38166.338	11062.976	NA
PNP023	Ba.Kola	49449.342	31532.14	19507.465	NA
PNP024	Ba.Kola	55003.593	35374.753	29866.076	9997.98
PNP030	Ngumba	54310.418	13570.041	3626.989	4118.748
PNP031	Ngumba	49606.171	12228.375	1055.324	NA
PNP032	Ngumba	55396.014	8846.998	NA	NA
PNP033	Ngumba	55619.122	10071.344	2772.369	NA
PNP034	Ngumba	58931.206	10083.451	2316.842	NA
PNP040	Bi.Aka_Mbati	42725.889	16686.327	9503.844	5900.333
PNP041	Bi.Aka_Mbati	45454.646	14031.693	10854.66	NA
PNP042	Bi.Aka_Mbati	43904.171	13063.594	10412.878	NA
PNP043	Bi.Aka_Mbati	49783.901	21978.246	12971.979	NA
PNP044	Bi.Aka_Mbati	42148.316	17104.879	4186.4	5254.388
PNP050	Ba.Kiga	50653.498	10889.328	2200.228	NA
PNP051	Ba.Kiga	56953.941	12750.193	3740.981	NA
PNP052	Ba.Kiga	72740.637	49163.024	50326.236	13420.098
PNP053	Ba.Kiga	63087.379	8270.433	1032.763	NA
PNP054	Ba.Kiga	52537.946	13647.448	4600.42	NA
PNP060	Batwa	58554.524	52882.988	34810.919	7014.738
PNP062	Batwa	56728.936	24517.965	18862.16	15042.376
PNP063	Batwa	85242.119	74552.333	46657.795	13057.649
PNP064	Batwa	55357.081	40339.721	17039.479	10830.039
PNP065	Batwa	59764.528	48483.959	14545.988	15435
PNP066	Batwa	67749.325	35031.855	32211.072	17743.659
PNP070	Nsua	76881.736	45092.809	32908.227	NA
PNP071	Nsua	67505.037	23903.377	5334.252	NA
PNP072	Nsua	55383.998	18983.491	4591.213	NA
PNP073	Nsua	89856.257	63844.616	28221.266	4766.337
PNP074	Nsua	76358.002	36246.513	11832.938	2826.96
PNP080	Ba.Konjo	58895.769	14963.548	3914.181	NA
PNP081	Ba.Konjo	59152.506	21523.671	7024.847	2446.28
PNP082	Ba.Konjo	61353.471	22077.33	1200.163	NA
PNP083	Ba.Konjo	62186.089	21241.279	4860.957	NA
PNP084	Ba.Konjo	59508.436	20709.865	5469.325	NA
SAHGPCOL1	Coloured	119688.676	12024.631	NA	NA
SAHGPCOL2	Coloured	102472.291	12630.579	1813.769	NA
SAHGPCOL3	Coloured	107383.18	17983.9	NA	NA
SAHGPCOL4	Coloured	147482.67	23081.436	1424.931	2535.404
SAHGPCOL5	Coloured	108981.543	17050.702	NA	NA
SAHGPCOL6	Coloured	90617.83	12601.595	NA	NA
SAHGPCOL7	Coloured	80671.18	16003.448	2662.157	2402.341
SAHGPCOL8	Coloured	109695.132	18073.863	1070.834	NA
SAHGPSOT1	Sotho	39184.84	16418.431	3281.58	NA
SAHGPSOT2	Sotho	51958.4	11899.916	3612.518	NA
SAHGPSOT3	Sotho	55643.834	19092.762	3679.883	NA
SAHGPSOT4	Sotho	43726.846	19639.632	8631.665	5050.446
SAHGPSOT5	Sotho	46603.883	14483.456	5560.135	2053.095
SAHGPSOT6	Sotho	52360.745	20177.017	10909.973	6993.285
SAHGPSOT7	Sotho	53735.65	14244.062	12244.71	5269.636
SAHGPXHO1	Xhosa	53758.271	23234.004	9238.683	2293.222
SAHGPXHO2	Xhosa	44720.618	17976.036	8999.959	5180.245
SAHGPXHO3	Xhosa	49077.106	18700.086	7516.289	NA
SAHGPXHO4	Xhosa	42209.727	17410.722	8825.274	4612.841
SAHGPXHO5	Xhosa	52751.468	22127.784	8645.324	2312.212
SAHGPXHO6	Xhosa	50676.363	9000.551	6525.237	NA
SAHGPXHO7	Xhosa	46748.58	16270.139	4132.726	NA
SAHGPXHO8	Xhosa	48386.696	14673.665	9823.842	10271.246
SAHGPZUL1	Zulu	55451.273	22504.926	11558.83	3525.65
SGDPBantuH1	Bantu_Herero	81812.973	32869.243	15780.376	3407.477
SGDPBantuH2	Bantu_Herero	65035.372	25173.104	13116.38	2092.613
SGDPBantuK1	Bantu_Kenya	57713.147	15182.329	6535.652	NA
SGDPBantuK2	Bantu_Kenya	66739.947	16291.278	8260.204	NA
SGDPBantuT1	Bantu_Tswana	48484.94	15873.694	6103.363	NA
SGDPBantuT2	Bantu_Tswana	55928.104	11858.055	4408.415	NA
SGDPBIA1	Biaka	42824.954	27154.22	15668.898	2180.237
SGDPBIA2	Biaka	48031.915	27033.639	15864.584	NA
SGDPDai1	Dai	264057.544	56875.465	3236.711	NA
SGDPDai2	Dai	302787.916	63887.898	5659.503	NA
SGDPDai3	Dai	289153.208	64838.356	19998.454	7068.963
SGDPDai4	Dai	277030.859	51059	4634.178	NA
SGDPDIN1	Dinka	81493.901	14276.556	2445.489	NA
