POPNAME	POPNAMEALT	ID	COVERAGE	CONTINENT	DATASET	SHORT	WIDEPOP	POP	COL	PCH
Ba.Kola	Ba.Kola	PNP020	38.6621	AFRICA_S	PNP	Af_BaKola	RHG	ba.kola	#C6DBEF	21
Ba.Kola	Ba.Kola	PNP021	39.1743	AFRICA_S	PNP	Af_BaKola	RHG	ba.kola	#C6DBEF	21
Ba.Kola	Ba.Kola	PNP022	40.5616	AFRICA_S	PNP	Af_BaKola	RHG	ba.kola	#C6DBEF	21
Ba.Kola	Ba.Kola	PNP023	41.1022	AFRICA_S	PNP	Af_BaKola	RHG	ba.kola	#C6DBEF	21
Ba.Kola	Ba.Kola	PNP024	36.3353	AFRICA_S	PNP	Af_BaKola	RHG	ba.kola	#C6DBEF	21
Baka	Baka	PNP000	38.1189	AFRICA_S	PNP	Af_Baka	RHG	baka	#9ECAE1	22
Baka	Baka	PNP001	40.689	AFRICA_S	PNP	Af_Baka	RHG	baka	#9ECAE1	22
Baka	Baka	PNP002	35.9436	AFRICA_S	PNP	Af_Baka	RHG	baka	#9ECAE1	22
Baka	Baka	PNP003	41.26	AFRICA_S	PNP	Af_Baka	RHG	baka	#9ECAE1	22
Baka	Baka	PNP004	42.464	AFRICA_S	PNP	Af_Baka	RHG	baka	#9ECAE1	22
Baka	Baka	PNP005	39.4846	AFRICA_S	PNP	Af_Baka	RHG	baka	#9ECAE1	22
Baka	Baka	PNP006	47.0867	AFRICA_S	PNP	Af_Baka	RHG	baka	#9ECAE1	22
Bi.Aka Mbati	Bi.Aka_Mbati	PNP040	67.67	AFRICA_S	PNP	Af_AkaMbati	RHG	biakambati	#6BAED6	23
Bi.Aka Mbati	Bi.Aka_Mbati	PNP041	36.7821	AFRICA_S	PNP	Af_AkaMbati	RHG	biakambati	#6BAED6	23
Bi.Aka Mbati	Bi.Aka_Mbati	PNP042	36.1865	AFRICA_S	PNP	Af_AkaMbati	RHG	biakambati	#6BAED6	23
Bi.Aka Mbati	Bi.Aka_Mbati	PNP043	37.8957	AFRICA_S	PNP	Af_AkaMbati	RHG	biakambati	#6BAED6	23
Bi.Aka Mbati	Bi.Aka_Mbati	PNP044	38.4363	AFRICA_S	PNP	Af_AkaMbati	RHG	biakambati	#6BAED6	23
Ba.Twa	Batwa	PNP060	45.7522	AFRICA_S	PNP	Af_BaTwa	RHG	ba.twa	#3182BD	24
Ba.Twa	Batwa	PNP062	45.3165	AFRICA_S	PNP	Af_BaTwa	RHG	ba.twa	#3182BD	24
Ba.Twa	Batwa	PNP063	36.01	AFRICA_S	PNP	Af_BaTwa	RHG	ba.twa	#3182BD	24
Ba.Twa	Batwa	PNP064	43.4579	AFRICA_S	PNP	Af_BaTwa	RHG	ba.twa	#3182BD	24
Ba.Twa	Batwa	PNP065	74.169	AFRICA_S	PNP	Af_BaTwa	RHG	ba.twa	#3182BD	24
Ba.Twa	Batwa	PNP066	78.087	AFRICA_S	PNP	Af_BaTwa	RHG	ba.twa	#3182BD	24
Nsua	Nsua	PNP070	45.9636	AFRICA_S	PNP	Af_Nsua	RHG	nsua	#08519C	25
Nsua	Nsua	PNP071	36.3909	AFRICA_S	PNP	Af_Nsua	RHG	nsua	#08519C	25
Nsua	Nsua	PNP072	37.4078	AFRICA_S	PNP	Af_Nsua	RHG	nsua	#08519C	25
Nsua	Nsua	PNP073	33.4976	AFRICA_S	PNP	Af_Nsua	RHG	nsua	#08519C	25
Nsua	Nsua	PNP074	34.6339	AFRICA_S	PNP	Af_Nsua	RHG	nsua	#08519C	25
Ngumba	Ngumba	PNP030	43.3366	AFRICA_S	PNP	Af_Ngumba	AFRICA_S	ngumba	#BAE4B3	21
Ngumba	Ngumba	PNP031	38.76	AFRICA_S	PNP	Af_Ngumba	AFRICA_S	ngumba	#BAE4B3	21
Ngumba	Ngumba	PNP032	39.98	AFRICA_S	PNP	Af_Ngumba	AFRICA_S	ngumba	#BAE4B3	21
Ngumba	Ngumba	PNP033	37.67	AFRICA_S	PNP	Af_Ngumba	AFRICA_S	ngumba	#BAE4B3	21
Ngumba	Ngumba	PNP034	41.1858	AFRICA_S	PNP	Af_Ngumba	AFRICA_S	ngumba	#BAE4B3	21
