"POPNAME" "RATIO" "AVG_EXPECTED_HET_AUTOSOMES" "RATIO_UNBIASED" "AVG_EXPECTED_HET_AUTOSOMES_UNBIASED"
"Baka" "0.640544838801804" "0.00104115844420373" "0.654270799633273" "0.00112124755529632"
"Nzime" "0.584665201379932" "0.000982735317136393" "0.657748351552423" "0.00109192813015155"
"BaKola" "0.589815441072789" "0.00100405986251623" "0.637000676358611" "0.00111562206946248"
"Ngumba" "0.62728655672241" "0.00098657464083386" "0.6774694812602" "0.00109619404537096"
"AkaMbati" "0.592333349459544" "0.00100890929173921" "0.639720017416305" "0.00112101032415468"
"BaKiga" "0.638997080613326" "0.00097964170598858" "0.67094693464399" "0.00108849078443176"
"BaTwa" "0.619426597658149" "0.000997022971011779" "0.624588485971968" "0.00108766142292194"
"Nsua" "0.578470788294412" "0.00096903030172561" "0.594998525102823" "0.00107670033525068"
"BaKonjo" "0.647059646148704" "0.000980103663860875" "0.679412628456138" "0.00108900407095653"
"Karretjiepeople" "0.625622947568853" "0.00100821541491951" "0.656904094947294" "0.00112023934991057"
"GuiandGana" "0.65628917226408" "0.0010211105662309" "0.675040291471625" "0.00113456729581211"
"Juhoansi" "0.576610309053771" "0.000997151921619885" "0.648686597685491" "0.00110794657957765"
"Nama" "0.611991590785423" "0.00100688174006021" "0.660950918048263" "0.00111875748895578"
"Xun" "0.583285773192134" "0.00102447903332098" "0.656196494841151" "0.00113831003702331"
"BantuHerero" "0.466953958442646" "0.000814385557354911" "0.700430937663966" "0.00108584740980655"
"BantuKenya" "0.587284753259056" "0.000816541473580594" "0.660695347416442" "0.00108872196477412"
"BantuTswana" "0.446568894707939" "0.000846289294092926" "0.669853342061911" "0.00112838572545723"
"Biaka" "0.429800068808969" "0.000850111088289856" "0.644700103213454" "0.00113348145105314"
"Dinka" "0.563738820649696" "0.000901076881320997" "0.657695290757979" "0.00102980215008114"
"Esan" "0.63757442551947" "0.000900504112510934" "0.664140026582782" "0.00108060493501312"
"Gambian" "0.589373981096621" "0.000810515974398437" "0.663045728733701" "0.00108068796586458"
"Igbo" "0.57448053458101" "0.000814892949984681" "0.646290601403635" "0.00108652393331291"
"Juhoansi_comp" "0.553236203805466" "0.000953826611369248" "0.645442237773043" "0.00109008755585057"
"Khomani" "0.645771392105959" "0.0008127536722965" "0.645771392105959" "0.001083671563062"
"Lemande" "0.59644187158728" "0.000817153465922445" "0.67099710553569" "0.00108953795456326"
"Luhya" "0.654122928624923" "0.000906849567812497" "0.681378050650959" "0.001088219481375"
"Luo" "0.593761181569469" "0.000816666593656275" "0.667981329265652" "0.0010888887915417"
"Mandenka" "0.588035919305989" "0.000926628181856553" "0.643164286740925" "0.00105900363640749"
"Maasai" "0.464885759253767" "0.000780063218689822" "0.69732863888065" "0.00104008429158643"
"Mbuti" "0.556451430924459" "0.000953230833497571" "0.600967545398414" "0.00105914537055286"
"Mende" "0.642852495325851" "0.000915223115910339" "0.669638015964427" "0.00109826773909241"
"Mozabite" "0.54279255908056" "0.000682743129398349" "0.61064162896563" "0.000910324172531133"
"Saharawi" "0.358741357480224" "0.000682516558685277" "0.538112036220335" "0.000910022078247037"
"Yoruba" "0.610331436816258" "0.000933521739553627" "0.667550009017781" "0.00106688198806129"
"DaiChinese" "0.506032204403606" "0.000689388436319592" "0.521845710791217" "0.000752060112348646"
"Karitiana" "0.482122970926562" "0.000501545422293922" "0.50622911947289" "0.000557272691437691"
"Papuan" "0.49081354697435" "0.000608554606310774" "0.514185620639795" "0.000663877752339025"
"French" "0.501330421604687" "0.00070148287044182" "0.548330148630127" "0.000801694709076365"
"CEU" "0.471254227785092" "0.000624041643840241" "0.530161006258228" "0.000832055525120321"
"Coloured" "0.641977148877422" "0.00095554691383359" "0.687832659511521" "0.0010192500414225"
"SothoSpeakers" "0.629374842136132" "0.00105090890016033" "0.681822745647476" "0.00113174804632651"
"XhosaSpeakers" "0.634315038904476" "0.00104811225960546" "0.679623255969084" "0.00111798641024582"
"Juhoansi_comp_noHGDP" "0.523311680408334" "0.00092192211509071" "0.654139600510418" "0.00110630653810885"
"Dinka_noHGDP" "0.536290886129009" "0.000867448187895968" "0.670363607661262" "0.00104093782547516"
"French_noHGDP" "0.492201830894834" "0.000676890886983208" "0.54689092321648" "0.00081226906437985"
"Papuan_noHGDP" "0.494237727589938" "0.000603466447607817" "0.518949613969436" "0.000670518275119796"
"Yoruba_noHGDP" "0.60951973160998" "0.000901136776538036" "0.677244146233313" "0.00108136413184564"
"Mbuti_noHGDP" "0.544745048615996" "0.000942336172220943" "0.595814896923747" "0.00107695562539536"
"Mandenka_noHGDP" "0.584718262638894" "0.000895157375314943" "0.649686958487661" "0.00107418885037793"
"Karitiana_noHGDP" "0.49015494637164" "0.000491711108318967" "0.514662693690221" "0.000561955552364534"
"DaiChinese_noHGDP" "0.516026959057039" "0.000684892711726736" "0.530770586458669" "0.000760991901918596"
